Founder_Type,Economic_Climate,Founder_Age,Founder_Experience_Years,Industry,Funding_Stage,Work_Mode,Team_Size,Startup_Age_Months,Weekly_Work_Hours,Sleep_Hours,Exercise_Days_Per_Week,Vacation_Days_Taken,Investor_Pressure_Score,Cofounder_Conflict_Score,Stress_Score,Decision_Fatigue_Score,Burnout_Score,Burnout_Level,Founder_Burnout_Flag,Monthly_Revenue_Growth_Percent,Runway_Months_Remaining,Product_Market_Fit_Score,Employee_Turnover_Percent,Work_Life_Balance_Score,Seeks_Mental_Health_Support,Shutdown_Probability,Shutdown_Risk,Startup_Failure_Flag
Growth Obsessed Founder,Funding Winter,26,1,SaaS,Bootstrapped,Hybrid,7,117,63.3,6.1,5.7,2.3,4.8,9.4,6.0,8.1,4.7,Moderate,0,11.2,1.0,6.2,58.2,2.5,No,0.884,High,1
Solo Hustler,Bull Market,34,1,Cybersecurity,Series A,Hybrid,22,15,68.3,6.3,3.2,9.7,9.0,6.5,7.6,7.7,4.2,Moderate,0,20.7,12.1,3.4,50.7,4.8,No,0.457,Medium,0
Visionary CEO,Stable Economy,27,3,EdTech,Pre-Seed,Hybrid,2,47,79.7,3.5,3.1,20.3,4.1,0.0,6.3,3.8,4.2,Moderate,0,4.0,20.0,7.9,12.7,2.9,Yes,0.131,Low,0
Serial Entrepreneur,Funding Winter,27,5,ClimateTech,Series A,Hybrid,49,137,39.2,6.7,3.5,2.3,6.3,0.0,3.0,2.7,1.0,Low,0,2.4,13.7,8.2,20.4,9.8,Yes,0.06,Low,0
Growth Obsessed Founder,Recession,36,1,AI,Series A,Hybrid,50,78,74.0,4.9,2.7,10.9,3.8,6.3,7.7,7.3,5.9,Moderate,0,-4.2,8.6,2.9,48.1,5.7,No,0.827,High,1
Growth Obsessed Founder,Recession,27,3,EdTech,Pre-Seed,Office,12,135,69.4,6.1,3.7,4.3,5.0,5.6,6.5,4.4,3.2,Low,0,0.4,15.8,4.1,42.4,7.9,Yes,0.247,Low,0
Growth Obsessed Founder,Stable Economy,35,1,SaaS,Pre-Seed,Remote,6,73,59.6,6.3,3.4,3.0,5.6,3.2,2.1,2.9,3.9,Moderate,0,23.6,4.4,2.3,39.9,8.1,No,0.409,Medium,0
Growth Obsessed Founder,Stable Economy,24,2,SaaS,Series B,Hybrid,64,117,50.7,5.7,3.9,14.9,4.7,2.6,4.1,3.6,1.0,Low,0,5.5,18.9,4.4,24.3,10.0,Yes,0.017,Low,0
Solo Hustler,Funding Winter,32,2,FinTech,Series B,Hybrid,156,66,79.7,3.6,2.7,0.0,9.8,1.7,8.9,9.2,6.9,Severe,1,-3.1,19.4,2.0,38.0,2.9,No,0.446,Medium,0
Technical Builder,Bull Market,33,2,AI,Series A,Hybrid,41,26,64.0,5.5,4.3,2.7,6.1,4.8,3.4,4.9,2.7,Low,0,-20.5,20.2,5.9,32.3,6.0,No,0.544,Medium,0
Solo Hustler,Stable Economy,28,3,HealthTech,Seed,Remote,23,62,55.4,6.8,4.9,14.1,4.7,1.9,2.1,3.9,3.2,Low,0,-13.5,8.7,5.1,43.3,8.4,Yes,0.191,Low,0
Technical Builder,Funding Winter,33,1,AI,Bootstrapped,Remote,4,122,76.2,5.9,1.7,3.9,6.0,6.5,10.0,8.9,6.1,Moderate,0,-8.9,15.8,3.8,45.8,4.3,No,0.52,Medium,0
Growth Obsessed Founder,Funding Winter,31,4,AI,Bootstrapped,Hybrid,3,55,73.0,5.4,2.4,4.4,6.9,10.0,10.0,10.0,10.0,Severe,1,0.3,12.5,3.6,66.4,1.0,Yes,0.988,High,1
Burned-Out Operator,Funding Winter,43,2,AI,Seed,Office,28,4,59.6,5.0,3.0,5.1,6.3,3.7,6.8,7.4,4.3,Moderate,0,6.0,25.1,3.4,40.2,6.8,No,0.546,Medium,0
Technical Builder,Funding Winter,35,0,E-commerce,Bootstrapped,Hybrid,5,97,65.6,6.8,2.1,8.4,3.7,4.7,3.8,1.0,1.1,Low,0,0.7,7.3,3.0,33.0,10.0,No,0.662,High,1
Solo Hustler,Bull Market,34,1,AI,Series B,Remote,178,75,50.7,5.4,5.4,19.0,4.4,0.9,1.0,2.3,2.0,Low,0,15.2,20.3,7.2,20.2,6.3,No,0.059,Low,0
Growth Obsessed Founder,Recession,22,1,SaaS,Series A,Remote,44,39,65.3,5.5,3.6,0.4,6.5,5.8,5.8,4.2,3.1,Low,0,4.4,7.5,5.3,44.0,6.8,Yes,0.455,Medium,0
Technical Builder,Bull Market,38,1,Gaming,Pre-Seed,Remote,13,125,28.0,7.0,5.6,12.8,4.1,2.6,1.0,1.0,1.0,Low,0,6.3,14.5,10.0,10.0,10.0,No,0.048,Low,0
Serial Entrepreneur,Bull Market,37,4,SaaS,Bootstrapped,Remote,7,119,58.4,6.0,2.2,19.9,2.9,1.8,3.4,3.1,1.9,Low,0,7.6,23.8,8.8,10.1,9.2,Yes,0.007,Low,0
Calm Operator,Stable Economy,33,2,AI,Series A,Hybrid,75,40,73.8,6.1,2.8,16.7,10.0,3.1,5.8,3.1,3.8,Moderate,0,24.7,15.1,8.9,35.2,7.2,Yes,0.101,Low,0
Technical Builder,Recession,40,2,AI,Seed,Hybrid,15,10,50.9,7.0,5.8,13.6,10.0,5.8,4.8,6.3,4.0,Moderate,0,19.1,12.0,3.6,36.6,7.1,No,0.612,Medium,0
Serial Entrepreneur,Bull Market,43,8,Biotech,Pre-Seed,Remote,4,87,60.2,5.5,4.4,10.0,4.9,2.2,2.6,3.8,1.0,Low,0,8.5,17.4,7.9,29.8,8.7,No,0.039,Low,0
Burned-Out Operator,Stable Economy,21,2,AI,Seed,Hybrid,14,129,42.6,5.8,4.8,13.1,3.5,3.6,1.0,1.0,1.0,Low,0,3.3,12.6,5.9,31.9,10.0,No,0.174,Low,0
Growth Obsessed Founder,Stable Economy,32,2,SaaS,Series C,Office,720,36,86.0,3.5,4.1,19.6,1.0,6.4,4.8,5.6,3.1,Low,0,6.2,16.2,7.1,52.0,4.7,No,0.19,Low,0
Serial Entrepreneur,Stable Economy,44,8,HealthTech,Bootstrapped,Remote,1,72,44.2,6.4,5.4,15.0,5.5,1.5,1.0,1.2,1.0,Low,0,25.6,1.0,8.6,10.2,9.9,No,0.352,Medium,0
Technical Builder,Funding Winter,33,0,FinTech,Bootstrapped,Hybrid,1,53,63.9,6.5,3.8,9.2,6.6,6.8,5.1,8.1,4.4,Moderate,0,1.0,9.1,3.5,39.7,5.9,No,0.818,High,1
Serial Entrepreneur,Recession,34,3,E-commerce,Bootstrapped,Office,4,76,51.6,5.6,5.2,4.9,7.9,1.5,4.4,4.3,1.1,Low,0,5.1,8.5,7.5,33.4,10.0,No,0.418,Medium,0
Solo Hustler,Recession,32,2,SaaS,Pre-Seed,Remote,9,67,80.8,4.9,2.9,3.7,10.0,5.1,6.5,8.3,8.1,Severe,1,-1.8,1.0,1.8,64.3,1.0,Yes,0.995,High,1
Growth Obsessed Founder,Funding Winter,35,2,ClimateTech,Series A,Hybrid,63,98,72.6,6.0,2.8,9.6,7.0,7.9,7.4,2.9,3.5,Moderate,0,-7.4,13.7,2.5,60.2,5.4,No,0.68,High,1
Burned-Out Operator,Recession,32,2,FinTech,Bootstrapped,Hybrid,3,82,60.0,5.8,3.3,9.8,6.6,5.3,4.9,5.2,3.7,Moderate,0,7.2,2.4,5.1,48.9,5.1,Yes,0.608,Medium,0
Growth Obsessed Founder,Stable Economy,26,0,E-commerce,Pre-Seed,Remote,7,88,52.7,6.3,3.3,9.0,5.9,8.1,2.4,4.0,2.5,Low,0,-3.2,23.6,9.1,40.7,7.5,No,0.166,Low,0
Visionary CEO,Bull Market,34,0,EdTech,Seed,Hybrid,18,107,59.2,5.4,2.9,5.0,1.0,5.6,4.1,5.1,3.9,Moderate,0,16.3,9.4,5.3,43.0,5.0,No,0.561,Medium,0
Solo Hustler,Funding Winter,25,2,EdTech,Series B,Hybrid,215,42,72.6,6.5,4.9,9.4,6.3,2.8,3.2,1.0,1.7,Low,0,-5.1,5.4,4.5,22.3,8.1,No,0.672,High,1
Technical Builder,Stable Economy,30,3,FinTech,Pre-Seed,Office,6,62,74.7,5.8,3.0,6.1,4.1,7.8,7.8,6.8,3.6,Moderate,0,3.8,13.3,5.0,46.6,6.5,No,0.445,Medium,0
Visionary CEO,Stable Economy,36,4,EdTech,Seed,Remote,17,97,59.4,6.2,5.5,0.0,2.7,2.3,3.1,4.0,4.3,Moderate,0,-4.6,6.1,5.1,27.4,7.9,No,0.464,Medium,0
Serial Entrepreneur,Funding Winter,33,7,SaaS,Seed,Office,13,4,67.0,5.1,4.4,16.8,5.6,3.5,6.5,5.2,3.2,Low,0,-14.9,6.0,4.1,25.4,6.5,No,0.572,Medium,0
Serial Entrepreneur,Stable Economy,41,6,AI,Series A,Hybrid,46,107,54.9,5.4,5.5,7.6,7.1,6.3,4.2,6.1,3.7,Moderate,0,9.2,17.2,7.3,52.3,7.8,No,0.116,Low,0
Technical Builder,Recession,51,2,EdTech,Bootstrapped,Hybrid,1,97,77.7,4.8,3.2,15.7,6.5,3.3,6.8,6.0,4.4,Moderate,0,-8.0,8.5,6.7,52.2,2.3,Yes,0.648,Medium,0
Technical Builder,Recession,49,5,ClimateTech,Series C,Remote,175,128,64.3,4.7,2.4,4.7,8.7,2.7,6.4,5.0,3.5,Moderate,0,25.4,20.3,4.7,25.0,6.4,No,0.538,Medium,0
Technical Builder,Bull Market,31,2,SaaS,Series C,Remote,550,7,62.9,6.0,5.1,5.5,3.7,3.8,4.4,1.4,1.0,Low,0,20.5,6.9,5.7,13.9,9.3,Yes,0.175,Low,0
Calm Operator,Stable Economy,31,1,ClimateTech,Seed,Hybrid,25,33,64.9,6.7,4.0,14.3,2.2,4.0,3.8,1.0,1.0,Low,0,24.2,10.9,7.4,47.5,9.7,Yes,0.16,Low,0
Chaotic Innovator,Stable Economy,41,3,Cybersecurity,Pre-Seed,Hybrid,3,135,55.8,5.1,3.9,0.0,5.8,4.3,4.5,2.5,1.5,Low,0,5.3,5.2,3.4,26.8,9.8,No,0.148,Low,0
Chaotic Innovator,Recession,28,1,ClimateTech,Pre-Seed,Hybrid,2,17,55.2,6.3,4.3,1.5,6.5,7.4,5.7,6.8,4.9,Moderate,0,19.2,19.4,5.8,53.2,4.4,No,0.685,High,1
Visionary CEO,Bull Market,34,0,SaaS,Seed,Remote,10,57,54.9,6.5,6.0,0.0,4.1,4.3,1.3,2.9,1.0,Low,0,5.1,10.8,7.4,25.6,9.7,No,0.116,Low,0
Burned-Out Operator,Stable Economy,26,2,HealthTech,Series A,Hybrid,63,140,61.3,4.8,5.2,20.4,4.3,3.4,6.1,7.2,5.1,Moderate,0,6.8,20.3,3.3,61.7,4.9,Yes,0.268,Low,0
Technical Builder,Recession,36,5,Cybersecurity,Bootstrapped,Remote,4,107,64.1,6.2,3.5,9.7,7.9,1.0,5.5,5.0,2.9,Low,0,-18.3,7.7,2.4,8.7,7.8,No,0.492,Medium,0
Visionary CEO,Bull Market,25,2,AI,Series B,Remote,159,68,79.4,6.2,3.5,13.7,7.0,4.1,4.6,6.9,3.5,Low,0,9.6,20.4,5.8,32.3,7.7,No,0.075,Low,0
Technical Builder,Funding Winter,28,4,Cybersecurity,Seed,Hybrid,6,128,86.9,6.4,2.5,3.4,2.6,4.8,6.8,2.7,3.1,Low,0,-45.0,6.2,4.6,44.0,6.0,Yes,0.719,High,1
Technical Builder,Stable Economy,32,5,SaaS,Series A,Hybrid,70,24,46.9,7.9,6.2,0.0,10.0,3.5,4.9,7.3,4.5,Moderate,0,5.2,1.8,4.0,39.2,8.6,Yes,0.525,Medium,0
Growth Obsessed Founder,Stable Economy,34,6,FinTech,Seed,Hybrid,11,132,77.3,5.2,2.1,0.0,6.2,5.9,8.9,7.4,6.5,Severe,1,-7.2,5.7,7.0,55.9,2.4,Yes,0.609,Medium,0
Serial Entrepreneur,Stable Economy,39,5,SaaS,Pre-Seed,Hybrid,3,92,45.9,6.9,3.6,1.7,3.5,0.3,2.2,1.0,1.0,Low,0,2.7,21.9,7.0,16.3,10.0,No,0.012,Low,0
Serial Entrepreneur,Stable Economy,36,4,SaaS,Seed,Remote,10,97,57.3,6.1,4.1,3.7,4.1,2.1,3.9,4.7,1.0,Low,0,-4.2,15.4,2.5,14.7,8.3,No,0.039,Low,0
Visionary CEO,Bull Market,33,0,E-commerce,Seed,Remote,5,5,59.5,6.0,2.6,24.0,1.0,4.3,3.0,3.3,2.1,Low,0,5.8,17.9,6.2,45.6,9.4,Yes,0.209,Low,0
Technical Builder,Recession,27,1,AI,Pre-Seed,Remote,14,47,54.4,6.8,4.1,17.9,6.7,3.5,5.2,2.2,1.9,Low,0,10.5,1.0,2.4,26.0,10.0,No,0.953,High,1
Growth Obsessed Founder,Funding Winter,41,5,Cybersecurity,Pre-Seed,Remote,12,42,73.6,4.5,4.2,0.0,4.6,6.7,6.7,6.1,4.8,Moderate,0,0.2,12.1,5.9,56.4,5.9,No,0.846,High,1
Technical Builder,Stable Economy,35,2,FinTech,Bootstrapped,Hybrid,1,77,74.0,6.5,2.8,1.2,1.0,7.4,5.2,5.5,3.5,Moderate,0,15.9,30.4,6.4,54.2,4.3,Yes,0.012,Low,0
Calm Operator,Recession,36,4,SaaS,Series B,Remote,139,12,58.9,6.4,3.6,20.4,10.0,0.6,4.6,3.2,1.0,Low,0,-7.9,7.5,10.0,8.7,9.7,No,0.048,Low,0
Calm Operator,Stable Economy,33,0,AI,Seed,Office,25,95,55.9,5.6,3.0,17.1,5.4,0.0,5.6,4.6,2.0,Low,0,5.2,7.8,9.0,12.2,9.1,No,0.126,Low,0
Serial Entrepreneur,Funding Winter,34,4,SaaS,Bootstrapped,Remote,7,87,67.5,4.7,2.9,15.1,7.9,3.2,7.1,8.2,5.1,Moderate,0,1.5,17.7,7.7,18.6,4.9,No,0.35,Medium,0
Solo Hustler,Stable Economy,33,3,E-commerce,Series B,Hybrid,148,46,68.3,5.6,5.1,5.9,6.8,5.5,4.6,2.7,1.1,Low,0,4.5,17.5,7.7,34.3,8.9,No,0.087,Low,0
Solo Hustler,Funding Winter,28,0,Biotech,Bootstrapped,Office,4,45,74.7,4.8,2.6,3.8,5.7,4.4,7.6,4.7,1.9,Low,0,3.0,8.9,5.7,22.0,7.6,No,0.475,Medium,0
Burned-Out Operator,Funding Winter,32,1,AI,Pre-Seed,Remote,13,8,58.2,4.4,5.1,0.0,7.4,0.0,3.5,4.9,3.1,Low,0,-7.5,14.1,3.3,21.8,7.4,No,0.145,Low,0
Visionary CEO,Stable Economy,26,0,Cybersecurity,Bootstrapped,Remote,3,72,81.4,3.9,3.3,0.0,1.0,5.7,6.0,3.6,4.2,Moderate,0,4.7,11.6,2.4,42.5,3.8,Yes,0.862,High,1
Chaotic Innovator,Funding Winter,36,1,E-commerce,Seed,Hybrid,16,112,59.9,5.4,3.7,10.0,8.3,8.2,6.0,5.8,1.1,Low,0,9.6,15.2,5.5,47.5,10.0,No,0.627,Medium,0
Burned-Out Operator,Funding Winter,30,3,AI,Series B,Remote,130,75,56.4,5.0,5.0,7.0,10.0,2.9,5.7,9.6,5.8,Moderate,0,13.8,9.0,4.2,36.0,4.5,No,0.526,Medium,0
Visionary CEO,Bull Market,21,5,HealthTech,Pre-Seed,Remote,7,53,57.2,4.9,4.5,19.8,2.5,1.2,4.1,1.9,1.0,Low,0,20.2,16.6,5.9,9.6,10.0,Yes,0.039,Low,0
Technical Builder,Stable Economy,21,1,EdTech,Seed,Remote,7,76,58.0,6.9,5.0,6.6,3.7,3.4,2.8,1.7,2.1,Low,0,7.2,8.0,6.3,45.2,10.0,Yes,0.391,Medium,0
Technical Builder,Stable Economy,40,2,Cybersecurity,Bootstrapped,Hybrid,3,108,61.4,6.8,3.3,23.3,6.0,5.6,3.4,2.2,1.0,Low,0,30.1,14.6,6.4,21.6,10.0,No,0.104,Low,0
Chaotic Innovator,Funding Winter,35,4,ClimateTech,Seed,Hybrid,14,7,61.5,5.7,3.3,0.4,6.7,5.1,4.7,7.3,6.5,Moderate,0,7.3,6.8,6.5,48.2,4.9,Yes,0.911,High,1
Serial Entrepreneur,Stable Economy,39,6,E-commerce,Bootstrapped,Hybrid,1,47,73.6,4.6,4.6,6.1,8.8,1.2,4.8,5.6,3.2,Low,0,1.2,12.0,4.6,32.2,5.9,No,0.315,Low,0
Visionary CEO,Funding Winter,53,1,AI,Series B,Hybrid,68,117,55.7,3.0,4.0,4.2,8.1,0.9,7.1,7.5,7.7,Severe,1,7.4,13.0,4.9,33.1,1.0,No,0.833,High,1
Visionary CEO,Stable Economy,32,3,SaaS,Pre-Seed,Remote,11,9,52.1,6.0,5.6,7.7,2.3,2.2,1.0,1.0,1.0,Low,0,1.7,5.5,7.8,0.0,10.0,No,0.145,Low,0
Technical Builder,Recession,38,3,Gaming,Seed,Hybrid,9,39,67.8,4.7,3.6,0.4,5.4,3.6,6.1,4.1,1.0,Low,0,-1.5,1.7,7.7,17.2,9.3,No,0.896,High,1
Visionary CEO,Recession,31,1,ClimateTech,Pre-Seed,Office,4,88,73.8,4.6,3.7,2.4,4.2,4.6,5.8,4.1,5.3,Moderate,0,-2.0,6.7,3.3,24.4,6.0,Yes,0.895,High,1
Solo Hustler,Bull Market,55,3,ClimateTech,Series A,Office,87,109,72.2,5.6,3.9,20.7,5.7,3.2,5.1,5.1,2.6,Low,0,4.1,23.6,3.4,42.8,6.7,No,0.13,Low,0
Burned-Out Operator,Stable Economy,29,2,AI,Series A,Hybrid,67,34,69.2,4.6,4.2,13.7,8.6,4.3,6.2,7.6,7.1,Severe,1,3.1,20.9,5.7,43.1,2.0,Yes,0.214,Low,0
Visionary CEO,Funding Winter,32,1,HealthTech,Seed,Office,9,32,57.3,5.4,5.8,16.7,6.7,1.8,5.4,6.0,3.4,Low,0,-6.6,1.2,6.5,35.7,8.8,Yes,0.45,Medium,0
Solo Hustler,Bull Market,31,1,EdTech,Seed,Remote,27,101,76.6,4.7,2.3,9.6,7.3,4.4,7.0,9.6,4.9,Moderate,0,0.7,13.4,2.6,39.6,4.6,No,0.252,Low,0
Technical Builder,Funding Winter,23,3,SaaS,Pre-Seed,Hybrid,13,118,61.0,5.3,4.7,4.9,4.9,3.3,3.9,3.1,1.8,Low,0,16.3,8.5,4.5,33.2,9.2,Yes,0.375,Medium,0
Visionary CEO,Recession,27,1,SaaS,Series A,Office,65,21,52.7,5.9,4.4,0.0,4.8,2.5,5.5,2.0,2.0,Low,0,10.8,8.6,4.4,10.1,9.4,No,0.417,Medium,0
Growth Obsessed Founder,Bull Market,35,1,SaaS,Series B,Remote,114,31,88.1,4.6,2.3,1.3,6.3,9.2,9.6,7.8,7.3,Severe,1,-0.0,13.3,3.9,70.1,1.0,No,0.383,Medium,0
Growth Obsessed Founder,Funding Winter,38,2,AI,Seed,Hybrid,29,29,38.1,4.9,4.7,6.7,3.3,2.6,1.5,1.3,2.3,Low,0,-3.2,13.8,4.8,24.3,9.2,No,0.16,Low,0
Serial Entrepreneur,Stable Economy,40,7,SaaS,Bootstrapped,Hybrid,6,112,65.5,5.1,5.0,0.0,5.8,6.6,5.9,3.0,2.7,Low,0,-19.5,1.8,4.4,35.2,5.8,No,0.455,Medium,0
Calm Operator,Stable Economy,36,2,Gaming,Series C,Remote,779,98,46.5,7.4,6.1,14.5,6.2,0.4,1.0,1.0,1.0,Low,0,11.0,13.1,8.2,29.9,10.0,No,0.054,Low,0
Growth Obsessed Founder,Stable Economy,24,1,E-commerce,Pre-Seed,Hybrid,12,107,69.8,5.3,5.5,10.5,6.0,4.0,6.2,6.5,3.4,Low,0,3.5,9.2,2.2,51.4,7.4,No,0.186,Low,0
Burned-Out Operator,Funding Winter,41,2,E-commerce,Series A,Remote,23,102,51.3,5.0,4.2,8.3,5.2,4.3,5.1,8.2,5.1,Moderate,0,6.6,11.5,5.3,33.8,6.0,No,0.233,Low,0
Calm Operator,Stable Economy,32,1,AI,Series A,Office,48,44,46.8,6.6,5.0,19.8,5.0,2.0,2.3,1.0,1.0,Low,0,15.9,13.5,5.5,15.1,10.0,No,0.263,Low,0
Serial Entrepreneur,Stable Economy,35,6,Biotech,Seed,Remote,10,115,57.3,6.8,5.2,4.3,1.0,3.2,2.5,1.0,1.0,Low,0,-0.8,17.2,3.9,21.6,8.8,No,0.433,Medium,0
Solo Hustler,Funding Winter,28,2,E-commerce,Series C,Remote,452,24,75.7,3.5,5.1,16.6,8.6,5.4,9.0,8.8,7.9,Severe,1,-1.3,18.9,3.1,41.4,1.0,No,0.601,Medium,0
Visionary CEO,Bull Market,39,3,AI,Bootstrapped,Hybrid,6,50,53.7,6.3,5.7,0.0,2.0,4.5,2.8,2.4,2.0,Low,0,18.5,16.7,5.4,34.2,9.6,Yes,0.127,Low,0
Burned-Out Operator,Stable Economy,29,0,AI,Series B,Remote,88,27,59.9,5.5,2.7,7.3,4.9,3.2,5.6,7.1,5.4,Moderate,0,-10.0,18.2,1.0,47.2,4.9,No,0.646,Medium,0
Burned-Out Operator,Funding Winter,32,1,SaaS,Pre-Seed,Remote,13,139,55.7,5.2,4.9,3.0,7.3,0.5,4.3,2.7,3.8,Moderate,0,-1.4,7.4,2.4,30.8,7.7,No,0.255,Low,0
Solo Hustler,Bull Market,21,0,E-commerce,Bootstrapped,Hybrid,3,62,78.9,4.7,4.6,4.1,3.4,6.3,4.7,2.7,2.1,Low,0,-3.2,2.1,1.0,48.7,7.4,No,0.83,High,1
Serial Entrepreneur,Stable Economy,40,7,EdTech,Series B,Remote,125,3,36.1,6.7,5.8,14.9,7.3,3.3,2.6,2.7,1.0,Low,0,2.2,23.3,5.1,24.1,10.0,No,0.084,Low,0
Technical Builder,Bull Market,21,1,AI,Bootstrapped,Hybrid,2,132,59.1,6.3,4.4,15.0,3.9,4.9,6.2,6.5,2.9,Low,0,-5.5,18.5,4.4,41.4,8.2,No,0.333,Low,0
Burned-Out Operator,Stable Economy,43,3,Biotech,Seed,Remote,5,83,85.0,3.7,1.9,9.4,5.4,7.6,10.0,8.4,8.5,Severe,1,-19.5,12.9,1.0,78.8,2.0,No,0.975,High,1
Serial Entrepreneur,Stable Economy,35,4,Biotech,Seed,Hybrid,19,108,42.6,6.4,7.0,10.3,3.2,0.0,1.0,1.0,1.0,Low,0,13.4,23.5,4.6,10.1,10.0,No,0.079,Low,0
Serial Entrepreneur,Stable Economy,42,7,E-commerce,Bootstrapped,Remote,6,34,43.9,6.4,5.5,0.5,2.7,1.5,1.0,1.0,1.0,Low,0,9.1,14.9,6.1,0.9,9.6,Yes,0.083,Low,0
Serial Entrepreneur,Funding Winter,31,4,Gaming,Seed,Remote,13,5,48.9,7.0,4.3,9.3,10.0,1.5,4.3,6.4,2.2,Low,0,-0.9,8.2,7.1,28.4,9.5,No,0.064,Low,0
Technical Builder,Stable Economy,36,2,FinTech,Series A,Remote,61,34,58.0,5.5,3.7,13.5,6.7,1.8,1.6,1.0,1.0,Low,0,-26.9,14.0,5.5,16.1,9.6,No,0.022,Low,0
Growth Obsessed Founder,Stable Economy,39,0,Gaming,Pre-Seed,Remote,10,35,62.3,7.3,4.2,10.5,5.2,2.8,3.5,3.4,1.0,Low,0,16.4,19.9,6.8,28.5,10.0,No,0.096,Low,0
Serial Entrepreneur,Stable Economy,44,7,SaaS,Series A,Office,51,12,42.8,5.8,5.8,10.9,6.1,1.2,2.8,1.4,1.0,Low,0,-7.4,18.2,3.1,25.6,10.0,No,0.065,Low,0
Burned-Out Operator,Stable Economy,21,1,AI,Series A,Hybrid,33,137,42.3,6.0,3.7,1.7,5.4,6.1,3.9,2.9,5.0,Moderate,0,-8.1,13.1,1.0,35.1,7.9,No,0.573,Medium,0
Serial Entrepreneur,Stable Economy,41,7,AI,Bootstrapped,Hybrid,1,105,39.3,5.6,6.1,11.7,6.0,0.0,1.1,4.3,1.0,Low,0,8.8,24.9,5.7,28.4,9.6,No,0.038,Low,0
Visionary CEO,Stable Economy,26,1,AI,Pre-Seed,Office,14,98,58.4,7.2,3.6,8.7,5.3,2.1,2.2,1.0,1.0,Low,0,26.0,1.5,3.2,17.2,8.9,No,0.831,High,1
Visionary CEO,Recession,29,1,HealthTech,Series B,Remote,125,82,56.0,4.8,3.2,7.1,5.5,5.6,4.5,6.0,3.6,Moderate,0,-8.5,21.2,3.3,46.6,5.6,No,0.461,Medium,0
Chaotic Innovator,Stable Economy,42,3,EdTech,Pre-Seed,Remote,9,57,79.9,4.1,1.3,0.0,5.5,1.1,4.6,7.1,5.3,Moderate,0,3.3,10.0,7.6,31.8,3.1,No,0.31,Low,0
Serial Entrepreneur,Stable Economy,31,7,ClimateTech,Series A,Hybrid,83,24,49.0,6.7,4.4,13.6,10.0,1.0,2.1,1.8,1.0,Low,0,0.8,28.9,9.8,9.3,10.0,No,0.002,Low,0
Growth Obsessed Founder,Stable Economy,40,1,SaaS,Series A,Hybrid,41,38,74.0,5.6,3.1,14.8,3.8,7.1,5.5,4.5,2.9,Low,0,-8.2,18.3,1.3,36.4,6.0,No,0.613,Medium,0
Visionary CEO,Bull Market,37,1,AI,Bootstrapped,Hybrid,2,71,76.0,6.1,2.6,16.9,4.9,2.6,4.2,3.8,1.8,Low,0,5.8,13.4,7.8,6.4,9.7,No,0.093,Low,0
Technical Builder,Recession,39,1,E-commerce,Series A,Hybrid,67,119,77.5,7.0,3.2,12.5,10.0,0.0,3.5,3.2,1.0,Low,0,-4.3,9.4,6.2,11.5,8.3,Yes,0.305,Low,0
Solo Hustler,Bull Market,31,0,Gaming,Pre-Seed,Remote,11,17,86.7,5.1,2.4,14.1,2.0,4.8,5.7,7.1,3.9,Moderate,0,4.6,12.4,6.4,36.7,6.0,Yes,0.27,Low,0
Solo Hustler,Funding Winter,34,2,SaaS,Bootstrapped,Remote,5,134,94.3,4.7,1.3,0.0,2.1,5.7,10.0,8.1,4.6,Moderate,0,-9.3,16.2,6.1,41.0,4.3,No,0.387,Medium,0
Technical Builder,Funding Winter,27,1,E-commerce,Pre-Seed,Remote,5,64,68.0,5.3,3.9,9.7,7.4,6.6,5.3,5.8,3.3,Low,0,15.1,6.0,6.6,35.9,8.2,No,0.526,Medium,0
Technical Builder,Funding Winter,30,1,SaaS,Series C,Hybrid,132,74,75.7,4.5,5.0,5.3,8.3,3.5,8.4,10.0,8.0,Severe,1,-10.4,24.1,3.9,51.4,1.5,Yes,0.533,Medium,0
Burned-Out Operator,Bull Market,29,1,HealthTech,Bootstrapped,Remote,5,24,69.5,4.0,3.9,19.3,1.0,4.4,4.4,4.0,3.2,Low,0,-6.9,9.8,2.6,47.0,4.3,Yes,0.304,Low,0
Calm Operator,Funding Winter,42,3,FinTech,Seed,Remote,23,118,34.1,7.2,6.1,20.5,5.9,0.0,1.0,1.0,1.0,Low,0,37.4,11.2,9.3,5.3,10.0,No,0.13,Low,0
Technical Builder,Stable Economy,33,6,FinTech,Seed,Office,26,50,46.7,6.4,2.0,7.7,6.8,2.9,3.8,1.0,1.0,Low,0,11.7,18.8,4.7,35.8,9.4,No,0.166,Low,0
Serial Entrepreneur,Bull Market,46,7,E-commerce,Series A,Hybrid,60,18,50.0,5.6,4.9,10.0,7.0,0.0,2.4,4.8,5.0,Moderate,0,4.0,20.3,7.0,38.6,6.8,No,0.025,Low,0
Serial Entrepreneur,Stable Economy,32,3,Cybersecurity,Series A,Office,80,54,71.9,6.0,3.6,26.1,8.1,1.1,8.0,7.1,4.7,Moderate,0,38.6,7.2,5.8,41.1,5.8,No,0.235,Low,0
Serial Entrepreneur,Recession,48,6,HealthTech,Series C,Remote,794,10,69.3,5.6,3.4,0.0,7.2,2.8,6.8,1.0,1.0,Low,0,-7.8,22.4,6.8,18.7,8.7,No,0.059,Low,0
